name,url
VIEW ALL,https://www.moglix.com/electricals/211000000
House WiresExplore Now,https://www.moglix.com/electricals/wires-cables/house-wires/211196531
StabilizersExplore Now,https://www.moglix.com/electricals/power-generation-transformers/stabilizers/211521500
Multicore CablesExplore Now,https://www.moglix.com/electricals/wires-cables/multicore-cables/211196532
BatteriesExplore Now,https://www.moglix.com/electricals/power-generation-transformers/batteries/121240000
VIEW ALL,https://www.moglix.com/appliances-and-utilities/230000000
Ceiling FansExplore Now,https://www.moglix.com/appliances-and-utilities/fans/ceiling-fans/211531100
Induction StovesExplore Now,https://www.moglix.com/appliances-and-utilities/induction-cooktops/214195500
Pedestal FansExplore Now,https://www.moglix.com/appliances-and-utilities/fans/table-pedestal-fans/211531200
Mixer GrindersExplore Now,https://www.moglix.com/appliances-and-utilities/grinders-juice-extractors/mixer-grinders/230130100
VIEW ALL,https://www.moglix.com/power-tools/114000000
Air BlowersExplore Now,https://www.moglix.com/power-tools/blowers-heat-guns/air-blowers/114154100
Cordless Impact WrenchesExplore Now,https://www.moglix.com/power-tools/cordless-power-tools/cordless-impact-wrenches/114111300
Angle GrindersExplore Now,https://www.moglix.com/power-tools/grinders-vibrators/angle-grinders/114132500
Demolition HammersExplore Now,https://www.moglix.com/power-tools/electric-hammers/demolition-hammers/114185400
VIEW ALL,https://www.moglix.com/medical-supplies/215000000
GlucometersExplore Now,https://www.moglix.com/medical-supplies/diagnostic-instruments/glucometers/115251400
Test Strips & AccessoriesExplore Now,https://www.moglix.com/medical-supplies/medical-consumables/test-strips-accessories/215121100
First Aid Kits & Wound CareExplore Now,https://www.moglix.com/medical-supplies/first-aid-wound-care/116122500
Body Weight MachineExplore Now,https://www.moglix.com/medical-supplies/body-weighing-scales/215160000
VIEW ALL,https://www.moglix.com/safety-and-security/116000000
Safety ShoesExplore Now,https://www.moglix.com/safety-and-security/safety-shoes/116111700
Safety GlovesExplore Now,https://www.moglix.com/safety-and-security/safety-gloves/116122400
Fire ExtinguishersExplore Now,https://www.moglix.com/safety-and-security/fire-extinguishers/116122600
Safety JacketsExplore Now,https://www.moglix.com/safety-and-security/safety-jacket/116111411
VIEW ALL,https://www.moglix.com/plumbing/118000000
Bathroom TapsExplore Now,https://www.moglix.com/plumbing/faucets/bath-taps/119191200
Kitchen SinksExplore Now,https://www.moglix.com/plumbing/sinks/kitchen-sinks/119221200
Kitchen Sink TapsExplore Now,https://www.moglix.com/plumbing/faucets/kitchen-sink-taps/119191930
Angle ValveExplore Now,https://www.moglix.com/plumbing/faucets/angle-valve/119191920
VIEW ALL,https://www.moglix.com/gardening-outdoor-equipments/129000000
Chain SawsExplore Now,https://www.moglix.com/gardening-outdoor-equipments/cutting-pruning-tools/chain-saws/114143100
