alt,src
Moglix Business,https://www.moglix.com/assets/img/Moglix_Business.png
logo-2x,https://cdn.moglix.com/online/prod/pwa/bundles/assets/img/Moglix_logo_new_animation-1.gif
map-icon,https://www.moglix.com/assets/img/map-pin-area.png
track order,https://www.moglix.com/assets/img/deliver-location.svg
24 hrs Delivery,https://cdn.moglix.com/cms/flyout/Image_2025-10-09_12:57:17.836_24h-delivery.png
,https://cdn.moglix.com/cms/flyout/Images_2023-12-07_15-16-50_electrical-tools-equipment.jpg
,https://cdn.moglix.com/cms/flyout/Images_2023-12-08_09-51-46_tools.webp
,https://cdn.moglix.com/cms/flyout/Images_2023-12-07_14-51-07_office-stationery-supplies.jpg
,https://cdn.moglix.com/cms/flyout/Images_2023-12-11_12-17-25_agriculture-farming-equipment.jpg
,https://cdn.moglix.com/cms/flyout/Images_2021-09-10_10-13-07_Images_2020-06-03_18-21-41_medicalimage-min.png
,https://cdn.moglix.com/cms/flyout/Images_2023-12-12_14-15-47_hardware-plumbing-supplies.jpg
,https://cdn.moglix.com/cms/flyout/Images_2023-12-12_10-20-47_safety-ppe-supplies.jpg
,https://cdn.moglix.com/cms/flyout/Images_2023-12-12_09-58-45_automotive-supplies.jpg
,https://cdn.moglix.com/cms/flyout/Images_2023-12-12_14-44-33_1 5.jpg
Mogli Express,https://cdn.moglix.com/cms/flyout/Image_2025-10-09_12:57:18.225_mExpress.png
Angle Grinders,https://cdn.moglix.com/assets/img/home_card.webp
Trimmers,https://cdn.moglix.com/assets/img/home_card.webp
Glucometers,https://cdn.moglix.com/assets/img/home_card.webp
Soldering Tool Kits,https://cdn.moglix.com/assets/img/home_card.webp
Power Tool Kits,https://cdn.moglix.com/assets/img/home_card.webp
Impact Drills,https://cdn.moglix.com/assets/img/home_card.webp
Hearing Aids,https://cdn.moglix.com/assets/img/home_card.webp
Power Tools Combo Kits,https://cdn.moglix.com/assets/img/home_card.webp
Test Strips & Accessories,https://cdn.moglix.com/assets/img/home_card.webp
Laser Printer,https://cdn.moglix.com/assets/img/home_card.webp
"FAB 1 Sqmm Single Core Red FR PVC CCS Copper Insulated House Wire, Length: 91 m",https://cdn.moglix.com/assets/img/home_card.webp
"Zokasa Rio Pro 50W 2400rpm 1 Star Black Anti-Dust Pedestal Fan, Sweep: 400 mm",https://cdn.moglix.com/assets/img/home_card.webp
"Cybernautt V4K 4MP Dual Lens Full HD Smart Wi-Fi Camera with Colour Night Vision, Human & Motion Detect, 2 Way Audio, Alarm & Support 256GB SD",https://cdn.moglix.com/assets/img/home_card.webp
"Aplus 12 Litre Hand Operating Milking Machine, C12",https://cdn.moglix.com/assets/img/home_card.webp
"Stardom Racer Vitara 55W 410rpm Met Blue 3 Blade Ceiling Fan, Sweep: 1200 mm",https://cdn.moglix.com/assets/img/home_card.webp
RUTH 28 Pcs 48V 0-2400rpm 850Nm 4 in 1 Red & Black Cordless Impact Wrench Kit,https://cdn.moglix.com/assets/img/home_card.webp
Dr. Morepen Gluco One BG-03 50 Pcs Glucometer Strips Box,https://cdn.moglix.com/assets/img/home_card.webp
"Jakmister 18000rpm 950W Silver Unbreakable Heavy Duty Air Blower with Vacuum Suction Pipe, P-SIL950W",https://cdn.moglix.com/assets/img/home_card.webp
Abbott FreeStyle Libre 2 Plus 1�L Glucometer Sensor,https://cdn.moglix.com/assets/img/home_card.webp
"Finoflex 1.5 Sqmm PVC Single Core Black Insulated Electrical Wire, Length: 60 m",https://cdn.moglix.com/assets/img/home_card.webp
"Prestige Stainless Steel 304 Single Bowl Kitchen Sink 24x18x10 inch Chrome Handmade with Waste Pipe, Waste Coupling & Drain Basket",https://cdn.moglix.com/assets/img/home_card.webp
Imported 22 inch 68cc 3.2kW 2 Stroke Petrol Operated Chainsaw for Wood Cutting & Carpentry Use,https://cdn.moglix.com/assets/img/home_card.webp
OneXsale 1929x1080p 600lm Yellow Mini HD Movies Portable Projector with 1 Speaker For Home & Business,https://cdn.moglix.com/assets/img/home_card.webp
Fastgear Fusion Stainless Steel Long Body Tap (Pack of 8),https://cdn.moglix.com/assets/img/home_card.webp
Vox V7171 7.1 Channel Black Home Theater Speaker System,https://cdn.moglix.com/assets/img/home_card.webp
300W Natural White Square LED Flood Light,https://cdn.moglix.com/assets/img/home_card.webp
"Godhan 1.2kg Mild Steel Anti Kick Bar for Cows & Buffaloes, TI-GM-21119",https://cdn.moglix.com/assets/img/home_card.webp
"Power Pixel PP12G 12MP 6K Ultra HD PT 4G Sim Camera with Night Vision, Human Detect, Motion Detect, Two Way Audio, Alarm & Support 128GB SD Card",https://cdn.moglix.com/assets/img/home_card.webp
"Voltz 2HP 2 Stroke 52cc Heavy Duty Brush Cutter Machine for Grass Trimming & Lawn Cutting, VX-44F",https://cdn.moglix.com/assets/img/home_card.webp
EGK 250W Cool White Waterproof LED Flood Light,https://cdn.moglix.com/assets/img/home_card.webp
,https://www.moglix.com/assets/img/credlix-banner.jpg
,https://www.moglix.com/assets/img/Brand-store-banner.png
,https://www.moglix.com/assets/img/track-order-banner.png
FAB,https://cdn.moglix.com/cms/element/FAB_1745833068445.jpg
CabONE,"https://cdn.moglix.com/cms/element/Generated Image September 19, 2025 - 4_20PM_1758279064312.png"
Fabgold,"https://cdn.moglix.com/cms/element/Generated Image September 19, 2025 - 4_26PM_1758279410985.png"
Polyflex,https://www.moglix.com/assets/img/category-default-image.svg
House Wires,https://cdn.moglix.com/cms/flyout/cc3aT5ft2NI6i-xlarge.png
Stabilizers,https://cdn.moglix.com/cms/flyout/wQts5D8PG1xzm-xlarge.png
